Fitness,Time,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Weight7,Weight8,Weight9,Weight10,Weight11,Weight12,Weight13,Weight14
55,10,-10.144863961775545,-23.39615741529087,-14.532634719876294,-0.12090075050461845,-3.936808454671291,-4.4109093904375065,-2.9786543181746685,1.3833836561361366,-6.867191287806514,-5.117953523069381,-3.2496832653234637,2.99787269456537,-0.1599265094135156,-5.652062700207138,
412,4,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,0.32879695955774907,0.30554356232310476,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
1076,7,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,0.30554356232310476,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
3950,19,-10.144863961775545,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-2.306581700048669,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
7361,54,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-2.306581700048669,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
10164,93,-0.11985758769936869,-23.39615741529087,-7.677699825266604,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
10877,113,15.164509673705039,-16.063445932492424,-11.18299489916316,-0.12090075050461845,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-1.3276838256873114,-1.8382813018157886,
15800,152,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
17387,176,15.164509673705039,-23.39615741529087,-11.18299489916316,-0.12090075050461845,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-4.752396141665363,-1.8382813018157886,
19725,201,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
19725,246,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
19725,184,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-0.9735757764097375,-1.8382813018157886,
21067,234,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-1.3276838256873114,-1.8382813018157886,
